TransactionID,Date,Item,Category,Season
1,2024-01-02,Guava,Fruit,Winter
1,2024-01-02,Beetroot,Vegetable,Winter
2,2024-05-09,Muskmelon,Fruit,Summer
2,2024-05-09,Coriander,Vegetable,All
2,2024-05-09,Tomato,Vegetable,Summer
2,2024-05-09,Pineapple,Fruit,Summer
2,2024-05-09,Mango,Fruit,Summer
3,2024-04-09,Ginger,Vegetable,All
3,2024-04-09,Onion,Vegetable,All
3,2024-04-09,Mango,Fruit,Summer
4,2024-01-06,Onion,Vegetable,All
4,2024-01-06,Guava,Fruit,Winter
4,2024-01-06,Carrot,Vegetable,Winter
4,2024-01-06,Beetroot,Vegetable,Winter
4,2024-01-06,Green Peas,Vegetable,Winter
5,2024-02-28,Beetroot,Vegetable,Winter
5,2024-02-28,Cabbage,Vegetable,Winter
6,2024-12-04,Carrot,Vegetable,Winter
6,2024-12-04,Potato,Vegetable,All
6,2024-12-04,Cauliflower,Vegetable,Winter
6,2024-12-04,Spinach,Vegetable,Winter
6,2024-12-04,Green Peas,Vegetable,Winter
7,2024-07-24,Brinjal,Vegetable,Rainy
7,2024-07-24,Chilli,Vegetable,Rainy
8,2024-04-11,Onion,Vegetable,All
8,2024-04-11,Coriander,Vegetable,All
8,2024-04-11,Papaya,Fruit,Summer
8,2024-04-11,Tomato,Vegetable,Summer
8,2024-04-11,Ladyfinger,Vegetable,Summer
9,2024-11-08,Spinach,Vegetable,Winter
9,2024-11-08,Garlic,Vegetable,All
9,2024-11-08,Green Peas,Vegetable,Winter
9,2024-11-08,Guava,Fruit,Winter
9,2024-11-08,Coriander,Vegetable,All
10,2024-10-19,Garlic,Vegetable,All
10,2024-10-19,Potato,Vegetable,All
11,2024-04-08,Ginger,Vegetable,All
11,2024-04-08,Tomato,Vegetable,Summer
11,2024-04-08,Ladyfinger,Vegetable,Summer
12,2024-05-01,Watermelon,Fruit,Summer
12,2024-05-01,Garlic,Vegetable,All
12,2024-05-01,Papaya,Fruit,Summer
13,2024-03-17,Pineapple,Fruit,Summer
13,2024-03-17,Watermelon,Fruit,Summer
13,2024-03-17,Ginger,Vegetable,All
14,2024-05-01,Papaya,Fruit,Summer
14,2024-05-01,Potato,Vegetable,All
14,2024-05-01,Ginger,Vegetable,All
15,2024-09-25,Potato,Vegetable,All
15,2024-09-25,Bottle Gourd,Vegetable,Rainy
15,2024-09-25,Ginger,Vegetable,All
15,2024-09-25,Brinjal,Vegetable,Rainy
15,2024-09-25,Radish,Vegetable,Rainy
16,2024-05-11,Ginger,Vegetable,All
16,2024-05-11,Ladyfinger,Vegetable,Summer
17,2024-09-18,Brinjal,Vegetable,Rainy
17,2024-09-18,Bottle Gourd,Vegetable,Rainy
17,2024-09-18,Chilli,Vegetable,Rainy
17,2024-09-18,Pumpkin,Vegetable,Rainy
18,2024-02-29,Potato,Vegetable,All
18,2024-02-29,Cauliflower,Vegetable,Winter
18,2024-02-29,Guava,Fruit,Winter
18,2024-02-29,Ginger,Vegetable,All
18,2024-02-29,Onion,Vegetable,All
19,2024-06-12,Papaya,Fruit,Summer
19,2024-06-12,Capsicum,Vegetable,Summer
19,2024-06-12,Ginger,Vegetable,All
20,2024-03-04,Papaya,Fruit,Summer
20,2024-03-04,Mango,Fruit,Summer
21,2024-04-22,Ladyfinger,Vegetable,Summer
21,2024-04-22,Tomato,Vegetable,Summer
21,2024-04-22,Mango,Fruit,Summer
21,2024-04-22,Garlic,Vegetable,All
21,2024-04-22,Muskmelon,Fruit,Summer
22,2024-01-15,Cabbage,Vegetable,Winter
22,2024-01-15,Onion,Vegetable,All
22,2024-01-15,Cauliflower,Vegetable,Winter
22,2024-01-15,Ginger,Vegetable,All
23,2024-01-22,Spinach,Vegetable,Winter
23,2024-01-22,Guava,Fruit,Winter
23,2024-01-22,Cauliflower,Vegetable,Winter
23,2024-01-22,Garlic,Vegetable,All
24,2024-03-18,Mango,Fruit,Summer
24,2024-03-18,Onion,Vegetable,All
24,2024-03-18,Ladyfinger,Vegetable,Summer
25,2024-08-03,Chilli,Vegetable,Rainy
25,2024-08-03,Pumpkin,Vegetable,Rainy
25,2024-08-03,Bottle Gourd,Vegetable,Rainy
25,2024-08-03,Banana,Fruit,Rainy
26,2024-09-22,Coriander,Vegetable,All
26,2024-09-22,Garlic,Vegetable,All
26,2024-09-22,Bottle Gourd,Vegetable,Rainy
26,2024-09-22,Pumpkin,Vegetable,Rainy
27,2024-11-19,Potato,Vegetable,All
27,2024-11-19,Guava,Fruit,Winter
27,2024-11-19,Garlic,Vegetable,All
27,2024-11-19,Cabbage,Vegetable,Winter
28,2024-06-06,Papaya,Fruit,Summer
28,2024-06-06,Tomato,Vegetable,Summer
28,2024-06-06,Garlic,Vegetable,All
29,2024-09-02,Coriander,Vegetable,All
29,2024-09-02,Ginger,Vegetable,All
29,2024-09-02,Banana,Fruit,Rainy
29,2024-09-02,Potato,Vegetable,All
29,2024-09-02,Bottle Gourd,Vegetable,Rainy
30,2024-09-25,Garlic,Vegetable,All
30,2024-09-25,Radish,Vegetable,Rainy
30,2024-09-25,Ginger,Vegetable,All
30,2024-09-25,Pumpkin,Vegetable,Rainy
31,2024-09-12,Onion,Vegetable,All
31,2024-09-12,Radish,Vegetable,Rainy
31,2024-09-12,Ginger,Vegetable,All
31,2024-09-12,Bottle Gourd,Vegetable,Rainy
32,2024-05-23,Tomato,Vegetable,Summer
32,2024-05-23,Onion,Vegetable,All
33,2024-09-12,Brinjal,Vegetable,Rainy
33,2024-09-12,Radish,Vegetable,Rainy
33,2024-09-12,Ginger,Vegetable,All
33,2024-09-12,Chilli,Vegetable,Rainy
34,2024-07-25,Chilli,Vegetable,Rainy
34,2024-07-25,Potato,Vegetable,All
34,2024-07-25,Onion,Vegetable,All
34,2024-07-25,Pumpkin,Vegetable,Rainy
35,2024-10-08,Ginger,Vegetable,All
35,2024-10-08,Onion,Vegetable,All
35,2024-10-08,Potato,Vegetable,All
36,2024-09-30,Garlic,Vegetable,All
36,2024-09-30,Pumpkin,Vegetable,Rainy
36,2024-09-30,Banana,Fruit,Rainy
36,2024-09-30,Chilli,Vegetable,Rainy
36,2024-09-30,Ginger,Vegetable,All
37,2024-10-01,Coriander,Vegetable,All
37,2024-10-01,Potato,Vegetable,All
38,2024-04-10,Capsicum,Vegetable,Summer
38,2024-04-10,Pineapple,Fruit,Summer
38,2024-04-10,Potato,Vegetable,All
38,2024-04-10,Muskmelon,Fruit,Summer
39,2024-10-12,Onion,Vegetable,All
39,2024-10-12,Potato,Vegetable,All
40,2024-08-10,Coriander,Vegetable,All
40,2024-08-10,Chilli,Vegetable,Rainy
40,2024-08-10,Potato,Vegetable,All
40,2024-08-10,Pumpkin,Vegetable,Rainy
40,2024-08-10,Banana,Fruit,Rainy
41,2024-03-15,Garlic,Vegetable,All
41,2024-03-15,Mango,Fruit,Summer
41,2024-03-15,Watermelon,Fruit,Summer
42,2024-09-04,Coriander,Vegetable,All
42,2024-09-04,Banana,Fruit,Rainy
42,2024-09-04,Radish,Vegetable,Rainy
43,2024-10-14,Onion,Vegetable,All
43,2024-10-14,Ginger,Vegetable,All
43,2024-10-14,Potato,Vegetable,All
43,2024-10-14,Garlic,Vegetable,All
43,2024-10-14,Coriander,Vegetable,All
44,2024-04-20,Tomato,Vegetable,Summer
44,2024-04-20,Ginger,Vegetable,All
45,2024-06-20,Muskmelon,Fruit,Summer
45,2024-06-20,Capsicum,Vegetable,Summer
45,2024-06-20,Coriander,Vegetable,All
46,2024-12-17,Garlic,Vegetable,All
46,2024-12-17,Coriander,Vegetable,All
46,2024-12-17,Carrot,Vegetable,Winter
47,2024-02-16,Spinach,Vegetable,Winter
47,2024-02-16,Coriander,Vegetable,All
47,2024-02-16,Guava,Fruit,Winter
48,2024-04-21,Coriander,Vegetable,All
48,2024-04-21,Mango,Fruit,Summer
48,2024-04-21,Papaya,Fruit,Summer
48,2024-04-21,Capsicum,Vegetable,Summer
49,2024-01-18,Beetroot,Vegetable,Winter
49,2024-01-18,Garlic,Vegetable,All
49,2024-01-18,Guava,Fruit,Winter
50,2024-03-14,Capsicum,Vegetable,Summer
50,2024-03-14,Ginger,Vegetable,All
50,2024-03-14,Coriander,Vegetable,All
50,2024-03-14,Potato,Vegetable,All
51,2024-11-11,Guava,Fruit,Winter
51,2024-11-11,Onion,Vegetable,All
51,2024-11-11,Ginger,Vegetable,All
51,2024-11-11,Cabbage,Vegetable,Winter
52,2024-01-24,Beetroot,Vegetable,Winter
52,2024-01-24,Onion,Vegetable,All
53,2024-07-31,Chilli,Vegetable,Rainy
53,2024-07-31,Garlic,Vegetable,All
53,2024-07-31,Radish,Vegetable,Rainy
53,2024-07-31,Coriander,Vegetable,All
54,2024-03-26,Potato,Vegetable,All
54,2024-03-26,Onion,Vegetable,All
54,2024-03-26,Capsicum,Vegetable,Summer
55,2024-01-20,Coriander,Vegetable,All
55,2024-01-20,Beetroot,Vegetable,Winter
55,2024-01-20,Green Peas,Vegetable,Winter
55,2024-01-20,Onion,Vegetable,All
56,2024-04-27,Pineapple,Fruit,Summer
56,2024-04-27,Papaya,Fruit,Summer
57,2024-05-17,Watermelon,Fruit,Summer
57,2024-05-17,Potato,Vegetable,All
57,2024-05-17,Onion,Vegetable,All
57,2024-05-17,Papaya,Fruit,Summer
57,2024-05-17,Ginger,Vegetable,All
58,2024-06-19,Ladyfinger,Vegetable,Summer
58,2024-06-19,Onion,Vegetable,All
58,2024-06-19,Tomato,Vegetable,Summer
58,2024-06-19,Pineapple,Fruit,Summer
59,2024-01-23,Apple,Fruit,Winter
59,2024-01-23,Cauliflower,Vegetable,Winter
59,2024-01-23,Guava,Fruit,Winter
59,2024-01-23,Potato,Vegetable,All
60,2024-04-09,Ginger,Vegetable,All
60,2024-04-09,Capsicum,Vegetable,Summer
60,2024-04-09,Mango,Fruit,Summer
60,2024-04-09,Ladyfinger,Vegetable,Summer
60,2024-04-09,Pineapple,Fruit,Summer
61,2024-01-31,Ginger,Vegetable,All
61,2024-01-31,Coriander,Vegetable,All
62,2024-10-16,Onion,Vegetable,All
62,2024-10-16,Garlic,Vegetable,All
62,2024-10-16,Ginger,Vegetable,All
62,2024-10-16,Potato,Vegetable,All
62,2024-10-16,Coriander,Vegetable,All
63,2024-08-09,Potato,Vegetable,All
63,2024-08-09,Pumpkin,Vegetable,Rainy
63,2024-08-09,Chilli,Vegetable,Rainy
64,2024-11-26,Carrot,Vegetable,Winter
64,2024-11-26,Guava,Fruit,Winter
64,2024-11-26,Potato,Vegetable,All
64,2024-11-26,Apple,Fruit,Winter
65,2024-01-26,Potato,Vegetable,All
65,2024-01-26,Coriander,Vegetable,All
65,2024-01-26,Spinach,Vegetable,Winter
65,2024-01-26,Apple,Fruit,Winter
65,2024-01-26,Cauliflower,Vegetable,Winter
66,2024-03-19,Ginger,Vegetable,All
66,2024-03-19,Coriander,Vegetable,All
66,2024-03-19,Garlic,Vegetable,All
66,2024-03-19,Onion,Vegetable,All
66,2024-03-19,Capsicum,Vegetable,Summer
67,2024-07-04,Potato,Vegetable,All
67,2024-07-04,Pumpkin,Vegetable,Rainy
67,2024-07-04,Ginger,Vegetable,All
67,2024-07-04,Radish,Vegetable,Rainy
68,2024-05-25,Pineapple,Fruit,Summer
68,2024-05-25,Capsicum,Vegetable,Summer
68,2024-05-25,Ginger,Vegetable,All
69,2024-03-19,Mango,Fruit,Summer
69,2024-03-19,Garlic,Vegetable,All
69,2024-03-19,Ladyfinger,Vegetable,Summer
70,2024-02-19,Coriander,Vegetable,All
70,2024-02-19,Guava,Fruit,Winter
71,2024-04-02,Pineapple,Fruit,Summer
71,2024-04-02,Muskmelon,Fruit,Summer
72,2024-02-23,Guava,Fruit,Winter
72,2024-02-23,Carrot,Vegetable,Winter
73,2024-07-10,Banana,Fruit,Rainy
73,2024-07-10,Coriander,Vegetable,All
73,2024-07-10,Potato,Vegetable,All
73,2024-07-10,Bottle Gourd,Vegetable,Rainy
73,2024-07-10,Ginger,Vegetable,All
74,2024-03-04,Coriander,Vegetable,All
74,2024-03-04,Pineapple,Fruit,Summer
74,2024-03-04,Muskmelon,Fruit,Summer
74,2024-03-04,Papaya,Fruit,Summer
74,2024-03-04,Ladyfinger,Vegetable,Summer
75,2024-02-04,Guava,Fruit,Winter
75,2024-02-04,Onion,Vegetable,All
75,2024-02-04,Ginger,Vegetable,All
75,2024-02-04,Coriander,Vegetable,All
75,2024-02-04,Apple,Fruit,Winter
76,2024-03-13,Onion,Vegetable,All
76,2024-03-13,Watermelon,Fruit,Summer
76,2024-03-13,Ginger,Vegetable,All
76,2024-03-13,Pineapple,Fruit,Summer
76,2024-03-13,Tomato,Vegetable,Summer
77,2024-08-26,Ginger,Vegetable,All
77,2024-08-26,Pumpkin,Vegetable,Rainy
77,2024-08-26,Radish,Vegetable,Rainy
78,2024-05-04,Coriander,Vegetable,All
78,2024-05-04,Potato,Vegetable,All
78,2024-05-04,Papaya,Fruit,Summer
79,2024-04-30,Garlic,Vegetable,All
79,2024-04-30,Mango,Fruit,Summer
80,2024-12-13,Carrot,Vegetable,Winter
80,2024-12-13,Guava,Fruit,Winter
80,2024-12-13,Green Peas,Vegetable,Winter
80,2024-12-13,Cauliflower,Vegetable,Winter
